Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/artwork/[id],382,382,4100.0,4064.543652617787,4026.3106000002153,4103.370600001654,0.0,2.1327905759902377,2.1327905759902377,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
POST,/checkout/[id],206,206,4100.0,4065.161350485424,4036.1056000001554,4104.775200001313,0.0,1.150143609041856,1.150143609041856,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
POST,/login,50,50,4100.0,4069.445665999991,4039.9921999996877,4100.1715999991575,0.0,0.2791610701557903,0.2791610701557903,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/marketplace,449,449,4100.0,4066.1444962137766,4023.4638000001723,4104.679399999441,0.0,2.5068664099989966,2.5068664099989966,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
POST,/registration,16,16,4092.931099999987,4066.441593750028,4037.104300001374,4092.931099999987,0.0,0.08933154244985289,0.08933154244985289,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/virtual_gallery,617,617,4100.0,4064.9648432739205,4018.871300000683,4102.821700000277,0.0,3.444847605722452,3.444847605722452,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
,Aggregated,1720,1720,4100.0,4065.346772906969,4018.871300000683,4104.775200001313,0.0,9.603140813359186,9.603140813359186,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
